Date,Open,Stock_Price,Adj Close,Next_Stock_Price_1,Next_Stock_Price_2,source,author,title,description,url,urlToImage,publishedAt,content,date,vader_sentiment,sentiment_category
3/09/2024,228.5500031,222.7700043,222.7700043,220.8500061,222.3800049,Wired,Boone Ashworth,"How to Watch Apple's iPhone 16 Launch Event, and What to Expect",The next iPhone and Apple Watch will be unveiled during a splashy event on September 9. Here's how to tune in.,https://www.wired.com/story/apple-iphone-16-launch-event-how-to-watch-what-to-expect/,No image available,3/09/2024 10:00,"If tech news is feeling a little repeaty, with new phones and gadgets arriving in a seemingly endless stream over the last few weeks, know that its not Groundhog Day. But it is almost time for yet an… [+2202 chars]",3/09/2024,0.0644,positive
3/09/2024,228.5500031,222.7700043,222.7700043,220.8500061,222.3800049,Yahoo Entertainment,Jeremy Gan,The MLS Season Pass on Apple TV is now $10 for the rest of the season,"Soccer fans (or football to me, a Malaysian) who want to catch up on the latest Major League Soccer (MLS) matches for the rest of the 2024 season can now purchase the MLS Season Pass through Apple TV for $10. For Apple TV+ subscribers, the MLS Season Pass is …",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_6f4103e7-8dc0-494e-9621-324b85c36454,No image available,3/09/2024 14:51,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",3/09/2024,0.5423,positive
30/08/2024,230.1900024,229,229,222.7700043,220.8500061,Gizmodo.com,Gizmodo,"At This Price, No One Can Compete with the Apple Watch Series 9 This Labor Day",The Apple Watch Series 9 is now available for $269 at Target during the Labor Day Sales.,https://gizmodo.com/at-this-price-no-one-can-compete-with-the-apple-watch-series-9-this-labor-day-2000493271,https://gizmodo.com/app/uploads/2024/08/applewatch-9.jpg,30/08/2024 15:10,"The Apple Watch Series 9 is making waves this Labor Day with an incredible price drop, now available for just $269 instead of the regular $399. This fantastic deal can be found at Target which one of… [+2938 chars]",30/08/2024,0.4351,positive
30/08/2024,230.1900024,229,229,222.7700043,220.8500061,Gizmodo.com,Gizmodo,Labor Day Deals at Amazon: Apple Must Be Cringing at This MacBook Air M3 Price,Don't miss your chance to grab the Apple 2024 MacBook Air 15-inch laptop with M3 chip for just $1049 during Amazon's Labor Day Sale.,https://gizmodo.com/labor-day-deals-at-amazon-apple-must-be-cringing-at-this-macbook-air-m3-price-2000493049,https://gizmodo.com/app/uploads/2024/08/macbook-air-m3.jpg,30/08/2024 11:50,"As part of Amazon’s expansive Labor Day sale, tech enthusiasts and students alike can now snag the cutting-edge Apple 2024 MacBook Air 15-inch Laptop with M3 chip for just $1049 down from its origina… [+2424 chars]",30/08/2024,0.34,positive
30/08/2024,230.1900024,229,229,222.7700043,220.8500061,Gizmodo.com,Dua Rashid,Spotify Says Apple No Longer Allows for Physical Volume Controls on iPhone Connected Devices,The physical volume controls on your iPhone are no longer good for controlling volume on Spotify Connect and have to use the volume slider on the app.,https://gizmodo.com/spotify-says-apple-no-longer-allows-for-physical-volume-controls-on-iphone-connected-devices-2000493225,https://gizmodo.com/app/uploads/2024/08/spotify-logo.jpg,30/08/2024 18:45,"Apple has discontinued the functionality of controlling the volume on the Spotify app with your iPhone’s physical volume control buttons when devices are connected through Spotify Connect, such as sm… [+2279 chars]",30/08/2024,0,nuetral
30/08/2024,230.1900024,229,229,222.7700043,220.8500061,Gizmodo.com,Gizmodo,"Labor Day Deals at Amazon: AirPods Prices So Low, Apple Might Be Concerned","Amazon's Labor Day sale features remarkable discounts on AirPods, including the AirPods Pro, AirPods Max and AirPods (2nd Generation).",https://gizmodo.com/labor-day-deals-at-amazon-airpods-prices-so-low-apple-might-be-concerned-2000493441,https://gizmodo.com/app/uploads/2024/08/airpods-max.jpg,30/08/2024 20:51,"As Labor Day approaches, Amazon is showcasing remarkable discounts on some of the most sought-after audio products including the Apple AirPods Pro (2nd generation), AirPods (2nd generation), and AirP… [+2781 chars]",30/08/2024,0.6486,positive
30/08/2024,230.1900024,229,229,222.7700043,220.8500061,Wired,Justin Pot,Turn Your Old iPhone or iPad Into a Retro Game Machine,"Free emulator software can give an old device new life as a classic video game system. For bonus points, hook up a controller and stream games to your TV.",https://www.wired.com/story/turn-your-iphone-into-a-retro-game-machine/,"https://media.wired.com/photos/66d0e149c254f55f46e3db01/191:100/w_1280,c_limit/iPhone-Retro-Game-Machine-Gear.jpg",30/08/2024 14:30,"Do you have an iPhone and a desire to play retro video games? I have good news for you.
This year Apple started allowing emulators into the App Store. Emulators are software applications that simula… [+4665 chars]",30/08/2024,0.7906,positive
30/08/2024,230.1900024,229,229,222.7700043,220.8500061,Gizmodo.com,Joe Tilleli,Stop Doomscrolling on Your 7″ Phone and Start Doomscrolling on a 10.2″ iPad! On Sale as Low as $200 for Labor Day!,Both the 64GB and the 256GB 9th generation iPad are on sale for 39% off,https://gizmodo.com/stop-doomscrolling-on-your-7-phone-and-start-doomscrolling-on-a-10-2-ipad-on-sale-as-low-as-200-for-labor-day-2000493420,https://gizmodo.com/app/uploads/2024/08/iPad2021.jpg,30/08/2024 21:03,"Target has an Apple iPad on sale for as low as $200 as part of its Labor Day sale.
We now live in a second screen society. We scroll through Twitter while catching up on episodes of House of the Dra… [+2233 chars]",30/08/2024,-0.2732,negative
30/08/2024,230.1900024,229,229,222.7700043,220.8500061,CNET,Adrian Marlow,"Best Apple Labor Day Sales: Save on iPads, AirPods, Apple Watches, MacBooks and More",Early Labor Day sales have arrived and we have all the best Apple deals all in one convenient place.,https://www.cnet.com/deals/best-apple-labor-day-sales-2024-8-30/,https://www.cnet.com/a/img/resize/ba2287cbe1d1d2cfe0a7cba3c1cd69d9b4da1dca/hub/2024/08/27/0b5fa919-8dc6-452f-83d4-c1a8fde7a340/apple-macbook-air-m3-labor-day-commerce-bg.jpg?auto=webp&fit=crop&height=675&width=1200,30/08/2024 9:59,"With Labor Day just around the corner, now's the time to save big on a number of top brands, and that includes Apple. Fans of Apple devices and accessories know that it's some of the most popular tec… [+2907 chars]",30/08/2024,0.8122,positive
30/08/2024,230.1900024,229,229,222.7700043,220.8500061,The Verge,Victoria Song,AnandTech shuts down after 27 years,"Influential tech hardware site AnandTech, known for its in-depth reviews and analysis, has announced that it’s shutting down after 27 years.",https://www.theverge.com/2024/8/30/24232171/anandtech-tech-journalism-hardware,https://cdn.vox-cdn.com/thumbor/nip7AIydeFJJv4OnBCPelgU3nKY=/0x0:678x403/1200x628/filters:focal(339x202:340x203)/cdn.vox-cdn.com/uploads/chorus_asset/file/25595924/a_huge_car_678x452.png,30/08/2024 14:39,"AnandTech shuts down after 27 years
AnandTech shuts down after 27 years
 / The hardware enthusiast site was an influential presence in tech journalism for its in-depth component reviews and analysi… [+2437 chars]",30/08/2024,0.6597,positive
