Date,Open,Stock_Price,Adj Close,Next_Stock_Price_1,Next_Stock_Price_2,source,author,title,description,url,urlToImage,publishedAt,content,date,vader_sentiment,sentiment_category
6/08/2024,200.75,200.6399994,200.6399994,191.7599945,198.8399963,Gizmodo.com,Lucas Ropek,Fiery Cybertruck Death Spurs Federal Probe,A man was killed in a Cybertruck crash in Texas early Monday morning.,https://gizmodo.com/fiery-cybertruck-death-spurs-federal-probe-2000483746,https://gizmodo.com/app/uploads/2024/08/A-Tesla-Cybertruck-on-the-road.jpg,6/08/2024 21:30,"Federal authorities are investigating after a Cybertruck crashed and burst into flames earlier this week, leaving the driver of the vehicle dead. While there have been a number of crashes involving T… [+2151 chars]",6/08/2024,-0.6124,negative
7/08/2024,200.7700043,191.7599945,191.7599945,198.8399963,200.0,Autoblog,Associated Press,Tesla burns after driver in Mexico plugs it directly into a power line,"Filed under:
 Green,Weird Car News,Tesla,Electric
 Continue reading Tesla burns after driver in Mexico plugs it directly into a power line
Tesla burns after driver in Mexico plugs it directly into a power line originally appeared on Autoblog on Wed, 7 Aug 202…",https://www.autoblog.com/2024/08/07/tesla-burns-after-driver-in-mexico-plugs-it-directly-into-a-power-line/,https://edgecast-img.yahoo.net/mysterio/api/88AE34C384FDE0576814C5C67A3BD25652E81CAA1531116ECA8ACD82504AD5BA/autoblog/resizefill_w1200_h675;quality_85;format_webp;cc_31536000;/https://s.aolcdn.com/images/dims3/GLOB/crop/3072x1728 0 223/resize/1200x675/format/jpg/quality/100/https://s.aolcdn.com/os/ab/_cms/2024/08/07142129/tijuana_power_pole.jpeg,7/08/2024 18:22,"TIJUANA, Mexico A driver in the Mexican border city of Tijuana apparently had the bright idea of connecting his Tesla to an illegal electricity hookup connected directly to a powerline.
Not only did… [+1273 chars]",7/08/2024,-0.1779,negative
7/08/2024,200.7700043,191.7599945,191.7599945,198.8399963,200.0,Hipertextual,Rubén Chicharro,Figure 2.0: así es el robot humanoide que compite con el Optimus Gen 2 de Tesla,"El robot humanoide de Tesla tiene competencia. Figure, una empresa de robótica estadounidense, ha presentado F 2.0, una nueva versión de su robot impulsado por la IA de OpenAI y destinado para fines comerciales, aunque, al igual que Elon Musk con su Optimus G…",http://hipertextual.com/2024/08/figure-2-0-asi-es-el-robot-humanoide-que-compite-con-el-optimus-gen-2-de-tesla,https://imgs.hipertextual.com/wp-content/uploads/2024/08/figure-2-0.jpg,7/08/2024 10:06,"El robot humanoide de Tesla tiene competencia. Figure, una empresa de robótica estadounidense, ha presentadoF 2.0, una nueva versión de su robot impulsado por la IA de OpenAI y destinado para fines c… [+1753 chars]",7/08/2024,0.34,positive
8/08/2024,195.6999969,198.8399963,198.8399963,200.0,197.4900055,Business Insider,Polly Thompson,Palmer Luckey's startup Anduril raises $1.5 billion to build a Tesla-style weapons factory,Anduril is planning a huge factory facility for its autonomous weapons and devices that it says can hyperscale production for future conflicts.,https://www.businessinsider.com/palmer-luckey-anduril-defense-startup-funding-tesla-weapons-factory-2024-8,https://i.insider.com/66b485fa5da406397bf415a4?width=1200&format=jpeg,8/08/2024 14:27,"A rendering of Arsenal-1, the factory planned by Palmer Luckey's Anduril. Anduril
<ul><li>Defense startup Anduril has raised $1.5 billion in a round led by Founders Fund and Sands Capital.</li><li>I… [+3646 chars]",8/08/2024,0.0,nuetral
8/08/2024,195.6999969,198.8399963,198.8399963,200.0,197.4900055,Gizmodo.com,Lucas Ropek,Home Security Giant ADT Admits It Has Been Hacked,"While a lot of the details aren't clear yet, the company says hackers made off with customer information, including home addresses.",https://gizmodo.com/home-security-giant-adt-admits-it-has-been-hacked-2000484710,https://gizmodo.com/app/uploads/2024/08/An-ADT-stamp-in-a-window.jpg,8/08/2024 18:10,"ADT, one of the largest home security providers in the U.S., has been hacked. The breach, which was disclosed in a filing with the Securities and Exchange Commission on Wednesday, involves multiple d… [+2017 chars]",8/08/2024,0.2263,positive
9/08/2024,197.0500031,200.0,200.0,197.4900055,207.8300018,Business Insider,Ana Altchek,Uber CEO says there's a potentially big problem with Elon Musk's Robotaxi idea,Uber CEO Dara Khosrowshahi is skeptical that Tesla can pull off its Robotaxi plan. But he hopes the two companies can collaborate.,https://www.businessinsider.com/uber-ceo-khosrowshahi-elon-musk-tesla-robotaxi-autonomous-ev-2024-8,https://i.insider.com/66b620cb955b01c3294d2b47?width=1200&format=jpeg,9/08/2024 19:27,"Uber CEO Dara Khosrowshahi has some doubts about Tesla's Robotaxi idea.Samantha Burkardt/Richard Bord/Getty
<ul><li>Uber's CEO has some doubts about Elon Musk's Tesla Robotaxi plan.</li><li>Dara Kho… [+2179 chars]",9/08/2024,-0.5267,negative
9/08/2024,197.0500031,200.0,200.0,197.4900055,207.8300018,Autoblog,Associated Press,NTSB seeks information from Tesla on fatal Cybertruck crash and fire in Texas,"Filed under:
 Tesla,Safety
 Continue reading NTSB seeks information from Tesla on fatal Cybertruck crash and fire in Texas
NTSB seeks information from Tesla on fatal Cybertruck crash and fire in Texas originally appeared on Autoblog on Fri, 9 Aug 2024 10:42:0…",https://www.autoblog.com/2024/08/09/ntsb-seeks-information-from-tesla-on-fatal-cybertruck-crash-and-fire-in-texas/,https://edgecast-img.yahoo.net/mysterio/api/A61BF1FA1ABEA4B501CACA54EEC58CEE7FD0E385C65E60FCA0BB1101393BF199/autoblog/resizefill_w1200_h675;quality_85;format_webp;cc_31536000;/https://s.aolcdn.com/images/dims3/GLOB/crop/2343x1318 63 0/resize/1200x675/format/jpg/quality/100/https://s.aolcdn.com/os/ab/_cms/2024/08/09103850/Screenshot-2024-08-09-at-10.37.22 AM.png,9/08/2024 14:42,"DETROIT Federal safety authorities say they are seeking information on a crash and fire involving a Tesla Cybertruck that killed a driver of the futuristic new pickup.
The National Highway Traffic S… [+999 chars]",9/08/2024,-0.7783,negative
9/08/2024,197.0500031,200.0,200.0,197.4900055,207.8300018,Autoblog,Insider,Gen Z isn't impressed by Tesla cars. That should worry Elon Musk,"Filed under:
 Green,Tesla
 Continue reading Gen Z isn't impressed by Tesla cars. That should worry Elon Musk
Gen Z isn't impressed by Tesla cars. That should worry Elon Musk originally appeared on Autoblog on Fri, 9 Aug 2024 13:53:00 EDT. Please see our terms…",https://www.autoblog.com/2024/08/09/gen-z-isn-t-impressed-by-tesla-cars-that-should-worry-elon-musk/,https://edgecast-img.yahoo.net/mysterio/api/8735F7304B0B65874956C4D8AAA1B1B35E7C551E0674E4DE0E2927F023B45E1D/autoblog/resizefill_w1200_h675;quality_85;format_webp;cc_31536000;/https://o.aolcdn.com/images/dims3/GLOB/legacy_thumbnail/1062x597/format/jpg/quality/100/https://media.zenfs.com/en/business_insider_articles_888/b227fc77560d8f3c67c53f618d9f7afc,9/08/2024 17:53,"A recent survey of Morgan Stanley interns finds Tesla declining in desirability among the Gen Z workers.John Thys/AFP via Getty Images
Gen Z isn't riding with Tesla much anymore.
A recent survey of… [+4099 chars]",9/08/2024,0.0,nuetral
12/08/2024,199.0200043,197.4900055,197.4900055,207.8300018,201.3800049,Xataka.com,Javier Pastor,Elon Musk no para de redirigir recursos de Tesla y X hacia xAI. A los inversores no les está gustando nada,"Esto es la guerra, parece estar pensando Elon Musk. Y si para ganarla tengo que perjudicar a mis otras empresas, que así sea. Es al menos la estrategia que parece estar siguiendo el magnate para lograr su objetivo: convertir a xAI en referente. No lo va a ten…",https://www.xataka.com/robotica-e-ia/elon-musk-no-para-redirigir-recursos-tesla-x-xai-a-inversores-no-les-esta-gustando-nada,https://i.blogs.es/8c3308/musk/840_560.jpeg,12/08/2024 12:01,"Esto es la guerra, parece estar pensando Elon Musk. Y si para ganarla tengo que perjudicar a mis otras empresas, que así sea. Es al menos la estrategia que parece estar siguiendo el magnate para logr… [+3012 chars]",12/08/2024,0.0,nuetral
12/08/2024,199.0200043,197.4900055,197.4900055,207.8300018,201.3800049,Autoblog,Reuters,Elon Musk embraces Trump and scorns subsidies. But Tesla still lobbies for benefits,"Filed under:
 Government/Legal,Green,Tesla
 Continue reading Elon Musk embraces Trump and scorns subsidies. But Tesla still lobbies for benefits
Elon Musk embraces Trump and scorns subsidies. But Tesla still lobbies for benefits originally appeared on Autoblo…",https://www.autoblog.com/2024/08/12/elon-musk-embraces-trump-and-scorns-subsidies-but-tesla-still-lobbies-for-benefits/,https://edgecast-img.yahoo.net/mysterio/api/4419B7CDE9CA703F7A6AEBF6E1492C0CCB8DDBEC0667A77310FE77A61C0B6871/autoblog/resizefill_w1200_h675;quality_85;format_webp;cc_31536000;/https://s.aolcdn.com/images/dims3/GLOB/crop/4000x2250 0 0/resize/1200x675/format/jpg/quality/100/https://s.aolcdn.com/os/ab/_cms/2024/08/12081825/cannes_lions_international_festival_of_creativity_2024_-_day_three1.jpeg,12/08/2024 12:19,"When Elon Musk endorsed Donald Trump for president last month, the Tesla founder and chief executive backed a candidate who vows to ""drill, baby, drill,"" ""end the electric vehicle mandate"" and reduce… [+10272 chars]",12/08/2024,0.2732,positive
